Point:942   (13589.5,17354) house
Point:987   (13591.5,18882) office38
Point:988   (13591.5,18932) office38
Point:453   (13593.5,16094) house
Point:1281   (13612,23015) house
Point:940   (13619,16663) house
Point:1269   (13621.5,21445) house
Point:1441   (13622,27726) house
Point:375   (13638.5,12982) office38
Point:1280   (13641.5,22884.5) house
Point:1268   (13675.5,21097) hospital
Point:368   (13684,12336) office24
Point:376   (13688.5,12982) office38
Point:369   (13691,12739) office24
Point:1263   (13699,20830) house
Point:370   (13713,12647) office24
Point:1270   (13719.5,21321) house
Point:1271   (13719.5,21371) house
Point:1493   (13721,32014) house
Point:943   (13731.5,17420) house
Point:262   (13732.5,12056) house
Point:455   (13733.5,16080.5) house
Point:377   (13738.5,12982) shoppingmall
Point:1264   (13753.5,20893.5) house
Point:384   (13763.5,14234) office24
Point:954   (13764,17571) house
Point:454   (13765.5,16041.5) house
Point:378   (13788.5,12982) office24
Point:1272   (13791.5,21435) house
Point:1494   (13791.5,32039.5) house
Point:955   (13805.5,17616) house
Point:939   (13809.5,16637) house
Point:385   (13813.5,14234) office24
Point:371   (13815,12796.5) office24
Point:1387   (13816.5,26279) house
Point:448   (13820.5,15399) house
Point:1492   (13826,31047) house
Point:439   (13827,15314) house
Point:449   (13832.5,15624) house
Point:450   (13832.5,15674) house
Point:950   (13842.5,17317) office24
Point:971   (13843.5,17973) office24
Point:1274   (13849.5,21079) house
Point:1275   (13849.5,21129) house
Point:265   (13853.5,11971) office24
Point:441   (13854.5,15186) house
Point:944   (13859.5,16637) house
Point:1396   (13866.5,26279) house
Point:1388   (13880.5,25944) house
Point:958   (13882.5,17491) house
Point:1273   (13888.5,20900.5) house
Point:456   (13891.5,15482) house
Point:458   (13891.5,15532) house
Point:946   (13898,16763.5) house
Point:241   (13901,8558) hospital
Point:266   (13903.5,11971) office24
Point:442   (13910.5,15255) house
Point:465   (13914.5,16046) house
Point:975   (13919.5,18263) office38
Point:972   (13923,18196.5) office24
Point:949   (13926.5,17229.5) office24
Point:1389   (13930.5,25944) house
Point:959   (13932.5,17491) house
Point:951   (13938.5,17349) office24
Point:457   (13946,15422.5) house
Point:466   (13964.5,16046) house
Point:1378   (13970,24773) house
Point:973   (13980.5,17938) office24
Point:1390   (13980.5,25944) house
Point:945   (13986.5,16580) house
Point:952   (13988.5,17349) office38
Point:974   (13994,18163.5) cinema
Point:440   (13999.5,15087) house
Point:443   (13999.5,15137) house
Point:977   (14000.5,18405) office38
Point:990   (14000.5,18455) office38
Point:386   (14002,13950.5) house
Point:947   (14004.5,16759.5) house
Point:1497   (14006.5,32128.5) hospital
Point:997   (14011.5,19115) house
Point:112   (14012,8158) house
